Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value,activity_nM,activity_M,pActivity,binding_label
CHEMBL5404650,,,315.25,0.0,0.82,11b,Nc1ccc(C(=O)NC2CCC(=O)NC2=O)c(C(F)(F)F)c1,Ki,'=',42000.0,nM,4.38,,,UO_0000065,13.88,0.27,3.56,4.32,0,CHEMBL5374908,Binding affinity to human CRBN TBD assessed as inhibition constant using BODIPY-uracil as substrate by MST assay,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL3763008,Protein cereblon,Homo sapiens,SINGLE PROTEIN,CHEMBL5370657,1,Scientific Literature,J Med Chem,2023,,,BINDING AGENT,,42.0,42000.0,4.2000000000000004e-05,4.376750709602099,0
CHEMBL5419302,,,261.28,0.0,0.11,11c,Cc1cc(N)ccc1C(=O)NC1CCC(=O)NC1=O,Ki,'=',65000.0,nM,4.19,,,UO_0000065,16.03,0.3,4.08,4.13,0,CHEMBL5374908,Binding affinity to human CRBN TBD assessed as inhibition constant using BODIPY-uracil as substrate by MST assay,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL3763008,Protein cereblon,Homo sapiens,SINGLE PROTEIN,CHEMBL5370657,1,Scientific Literature,J Med Chem,2023,,,BINDING AGENT,,65.0,65000.0,6.500000000000001e-05,4.187086643357144,0
CHEMBL5405986,,,277.28,0.0,-0.19,11d,COc1cc(N)ccc1C(=O)NC1CCC(=O)NC1=O,Ki,'=',11000.0,nM,4.96,,,UO_0000065,17.88,0.34,5.15,4.49,0,CHEMBL5374908,Binding affinity to human CRBN TBD assessed as inhibition constant using BODIPY-uracil as substrate by MST assay,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL3763008,Protein cereblon,Homo sapiens,SINGLE PROTEIN,CHEMBL5370657,1,Scientific Literature,J Med Chem,2023,,,BINDING AGENT,,11.0,11000.0,1.1000000000000001e-05,4.958607314841775,0
CHEMBL5403248,,,313.26,0.0,0.09,11f,COc1c(N)c(F)cc(C(=O)NC2CCC(=O)NC2=O)c1F,IC50,'=',90000.0,nM,4.05,,,UO_0000065,12.92,0.25,3.96,3.66,0,CHEMBL5374907,Binding affinity to human CRBN TBD using BODIPY-uracil as substrate by MST assay,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL3763008,Protein cereblon,Homo sapiens,SINGLE PROTEIN,CHEMBL5370657,1,Scientific Literature,J Med Chem,2023,,,BINDING AGENT,,90.0,90000.0,9e-05,4.045757490560675,0
CHEMBL5424655,,,247.25,0.0,-0.2,8c,Nc1ccc(C(=O)NC2CCC(=O)NC2=O)cc1,Ki,'=',41000.0,nM,4.39,,,UO_0000065,17.74,0.33,4.59,4.33,0,CHEMBL5374908,Binding affinity to human CRBN TBD assessed as inhibition constant using BODIPY-uracil as substrate by MST assay,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL3763008,Protein cereblon,Homo sapiens,SINGLE PROTEIN,CHEMBL5370657,1,Scientific Literature,J Med Chem,2023,,,BINDING AGENT,,41.0,41000.0,4.1e-05,4.3872161432802645,0
CHEMBL5394825,,,710.26,2.0,5.36,Pro-1,Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)N1CCC(c3ccc4c(c3)CN(C3CCC(=O)NC3=O)C4=O)CC1)c1nnc(C)n1-2,IC50,'=',301.8,nM,6.52,,,UO_0000065,9.18,0.18,1.16,5.02,0,CHEMBL5379636,Binding affinity to Nano-Luc fused CRBN (unknown origin) expressed in live HEK293 cells incubated for 30 mins by NanoBRET target engagement assay,B,BAO_0000219,cell-based format,Homo sapiens,,,HEK293,,,,,CHEMBL3763008,Protein cereblon,Homo sapiens,SINGLE PROTEIN,CHEMBL5376000,1,Scientific Literature,J Med Chem,2023,,TIME = 0.5 hr,BINDING AGENT,,301.8,301.8,3.018e-07,6.520280764560429,1
CHEMBL5405431,,,789.36,2.0,6.16,Pro-9,Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)NCCCNc1ccc(Cc3ccc4c(c3)CN(C3CCC(=O)NC3=O)C4=O)cc1)c1nnc(C)n1-2,IC50,'=',53.6,nM,7.27,,,UO_0000065,9.21,0.18,1.11,4.83,0,CHEMBL5379636,Binding affinity to Nano-Luc fused CRBN (unknown origin) expressed in live HEK293 cells incubated for 30 mins by NanoBRET target engagement assay,B,BAO_0000219,cell-based format,Homo sapiens,,,HEK293,,,,,CHEMBL3763008,Protein cereblon,Homo sapiens,SINGLE PROTEIN,CHEMBL5376000,1,Scientific Literature,J Med Chem,2023,,TIME = 0.5 hr,BINDING AGENT,,53.6,53.6,5.3600000000000004e-08,7.27083521030723,1
CHEMBL5398776,,,817.42,2.0,6.94,Pro-11,Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)NCCCCCNc1ccc(Cc3ccc4c(c3)CN(C3CCC(=O)NC3=O)C4=O)cc1)c1nnc(C)n1-2,IC50,'=',20.9,nM,7.68,,,UO_0000065,9.4,0.18,0.74,5.1,0,CHEMBL5379636,Binding affinity to Nano-Luc fused CRBN (unknown origin) expressed in live HEK293 cells incubated for 30 mins by NanoBRET target engagement assay,B,BAO_0000219,cell-based format,Homo sapiens,,,HEK293,,,,,CHEMBL3763008,Protein cereblon,Homo sapiens,SINGLE PROTEIN,CHEMBL5376000,1,Scientific Literature,J Med Chem,2023,,TIME = 0.5 hr,BINDING AGENT,,20.9,20.9,2.09e-08,7.679853713888946,1
CHEMBL5436622,,,292.36,0.0,1.79,14t,CC(=O)Nc1ccccc1SCC1CCC(=O)NC1=O,Ki,'=',3000.0,nM,5.52,,,UO_0000065,18.89,0.38,3.73,7.34,0,CHEMBL5355404,Binding affinity to human CRBN thalidomide binding domain assessed as inhibition constant by microscale thermophoresis analysis,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL3763008,Protein cereblon,Homo sapiens,SINGLE PROTEIN,CHEMBL5352463,1,Scientific Literature,Eur J Med Chem,2023,,,BINDING AGENT,,3.0,3000.0,3e-06,5.522878745280337,0
CHEMBL5434742,,,292.36,0.0,1.79,14u,CC(=O)Nc1cccc(SCC2CCC(=O)NC2=O)c1,Ki,'=',3300.0,nM,5.48,,,UO_0000065,18.75,0.37,3.69,7.28,0,CHEMBL5355404,Binding affinity to human CRBN thalidomide binding domain assessed as inhibition constant by microscale thermophoresis analysis,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL3763008,Protein cereblon,Homo sapiens,SINGLE PROTEIN,CHEMBL5352463,1,Scientific Literature,Eur J Med Chem,2023,,,BINDING AGENT,,3.3,3300.0,3.3e-06,5.481486060122113,0
