Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value,activity_nM,activity_M,pActivity,binding_label
CHEMBL5418383,,,311.36,0.0,0.66,20m,COc1ccc(CS(=O)(=O)CC2CCC(=O)NC2=O)cc1,Ki,'=',5500.0,nM,5.26,,,UO_0000065,16.89,0.34,4.6,5.87,0,CHEMBL5355404,Binding affinity to human CRBN thalidomide binding domain assessed as inhibition constant by microscale thermophoresis analysis,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL3763008,Protein cereblon,Homo sapiens,SINGLE PROTEIN,CHEMBL5352463,1,Scientific Literature,Eur J Med Chem,2023,,,BINDING AGENT,,5.5,5500.0,5.500000000000001e-06,5.259637310505756,0
CHEMBL5435497,,,280.31,0.0,1.74,14k,O=C1CCC(CSc2ccc([N+](=O)[O-])cc2)C(=O)N1,Ki,'=',3000.0,nM,5.52,,,UO_0000065,19.7,0.4,3.78,6.18,0,CHEMBL5355404,Binding affinity to human CRBN thalidomide binding domain assessed as inhibition constant by microscale thermophoresis analysis,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL3763008,Protein cereblon,Homo sapiens,SINGLE PROTEIN,CHEMBL5352463,1,Scientific Literature,Eur J Med Chem,2023,,,BINDING AGENT,,3.0,3000.0,3e-06,5.522878745280337,0
CHEMBL5090604,,,833.89,2.0,2.83,3,CCS(=O)(=O)N1CC(CC#N)(n2cc(-c3nc(Nc4ccc(C(=O)NCCCCOc5cccc6c5C(=O)N(C5CCC(=O)NC5=O)C6=O)cc4)nc4[nH]ccc34)cn2)C1,IC50,'=',3.81,nM,8.42,,,UO_0000065,10.1,0.19,5.59,3.31,0,CHEMBL5050108,Binding affinity to CRBN (unknown origin) measured by Fluorescent Polarization assay,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL3763008,Protein cereblon,Homo sapiens,SINGLE PROTEIN,CHEMBL5046306,1,Scientific Literature,ACS Med Chem Lett,2022,,,DEGRADER,,3.81,3.81,3.810000000000001e-09,8.41907502432438,1
CHEMBL5082689,,,763.88,2.0,3.98,6,CCS(=O)(=O)N1CC(CC#N)(n2cc(-c3nc(Nc4ccc(C(=O)NCCCCNc5cccc(C6CCC(=O)NC6=O)c5)cc4)nc4[nH]ccc34)cn2)C1,IC50,'=',1.13,nM,8.95,,,UO_0000065,11.71,0.22,4.97,4.07,0,CHEMBL5050108,Binding affinity to CRBN (unknown origin) measured by Fluorescent Polarization assay,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL3763008,Protein cereblon,Homo sapiens,SINGLE PROTEIN,CHEMBL5046306,1,Scientific Literature,ACS Med Chem Lett,2022,,,DEGRADER,,1.13,1.13,1.13e-09,8.94692155651658,1
CHEMBL5078429,,,804.94,2.0,2.91,10,CCS(=O)(=O)N1CC(CC#N)(n2cc(-c3nc(Nc4ccc(C(=O)NCCN5CCN(c6ccc(C7CCC(=O)NC7=O)cc6)CC5)cc4)nc4[nH]ccc34)cn2)C1,IC50,'=',0.45,nM,9.35,,,UO_0000065,11.61,0.22,6.44,4.36,0,CHEMBL5050108,Binding affinity to CRBN (unknown origin) measured by Fluorescent Polarization assay,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL3763008,Protein cereblon,Homo sapiens,SINGLE PROTEIN,CHEMBL5046306,1,Scientific Literature,ACS Med Chem Lett,2022,,,DEGRADER,,0.45,0.45,4.5000000000000005e-10,9.346787486224656,1
CHEMBL5077200,,,830.98,2.0,3.44,12,CCS(=O)(=O)N1CC(CC#N)(n2cc(-c3nc(Nc4ccc(C(=O)NCCCN5CC6CC5CN6c5ccc(C6CCC(=O)NC6=O)cc5)cc4)nc4[nH]ccc34)cn2)C1,IC50,'=',23.9,nM,7.62,,,UO_0000065,9.17,0.17,4.18,3.56,0,CHEMBL5050108,Binding affinity to CRBN (unknown origin) measured by Fluorescent Polarization assay,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL3763008,Protein cereblon,Homo sapiens,SINGLE PROTEIN,CHEMBL5046306,1,Scientific Literature,ACS Med Chem Lett,2022,,,DEGRADER,,23.9,23.9,2.39e-08,7.621602099051862,1
CHEMBL3137312,DASABUVIR,4.0,493.59,0.0,4.02,Dasabuvir,COc1c(-c2ccc3cc(NS(C)(=O)=O)ccc3c2)cc(-n2ccc(=O)[nH]c2=O)cc1C(C)(C)C,Ki,'=',4710.0,nM,5.33,,,UO_0000065,10.79,0.21,1.31,4.83,0,CHEMBL4679656,Binding affinity to human CRBN-thalidomide binding domain expressed in Escherichia coli by measuring baseline corrected normalized fluorescence by MST based assay,B,BAO_0000019,assay format,Homo sapiens,,,,,,,,CHEMBL3763008,Protein cereblon,Homo sapiens,SINGLE PROTEIN,CHEMBL4673389,1,Scientific Literature,ACS Med Chem Lett,2021,,,BINDING AGENT,,4.71,4710.0,4.710000000000001e-06,5.326979092871103,0
CHEMBL122334,HYDANTOIN,,100.08,0.0,-1.17,Hydantoin,O=C1CNC(=O)N1,IC50,'=',421000.0,nM,,Outside typical range,,UO_0000065,,,,,0,CHEMBL4679656,Binding affinity to human CRBN-thalidomide binding domain expressed in Escherichia coli by measuring baseline corrected normalized fluorescence by MST based assay,B,BAO_0000019,assay format,Homo sapiens,,,,,,,,CHEMBL3763008,Protein cereblon,Homo sapiens,SINGLE PROTEIN,CHEMBL4673389,1,Scientific Literature,ACS Med Chem Lett,2021,,,BINDING AGENT,,421.0,421000.0,0.00042100000000000004,3.3757179041643317,0
CHEMBL4758352,,,114.1,0.0,-0.83,1-Methylhydantoin,CN1CC(=O)NC1=O,Ki,'=',67800.0,nM,4.17,,,UO_0000065,36.54,0.71,5.0,8.44,0,CHEMBL4679656,Binding affinity to human CRBN-thalidomide binding domain expressed in Escherichia coli by measuring baseline corrected normalized fluorescence by MST based assay,B,BAO_0000019,assay format,Homo sapiens,,,,,,,,CHEMBL3763008,Protein cereblon,Homo sapiens,SINGLE PROTEIN,CHEMBL4673389,1,Scientific Literature,ACS Med Chem Lett,2021,,,BINDING AGENT,,67.8,67800.0,6.780000000000001e-05,4.168770306132936,0
CHEMBL1958109,THIOHYDANTOIN,,116.14,0.0,-1.01,Thiohydantoin,O=C1CNC(=S)N1,IC50,'=',332000.0,nM,,Outside typical range,,UO_0000065,,,,,0,CHEMBL4679656,Binding affinity to human CRBN-thalidomide binding domain expressed in Escherichia coli by measuring baseline corrected normalized fluorescence by MST based assay,B,BAO_0000019,assay format,Homo sapiens,,,,,,,,CHEMBL3763008,Protein cereblon,Homo sapiens,SINGLE PROTEIN,CHEMBL4673389,1,Scientific Literature,ACS Med Chem Lett,2021,,,BINDING AGENT,,332.0,332000.0,0.00033200000000000005,3.4788619162959638,0
CHEMBL63,ROLIPRAM,2.0,275.35,0.0,2.62,Rolipram,COc1ccc(C2CNC(=O)C2)cc1OC1CCCC1,Ki,'=',102000.0,nM,,Outside typical range,,UO_0000065,,,,,0,CHEMBL4679656,Binding affinity to human CRBN-thalidomide binding domain expressed in Escherichia coli by measuring baseline corrected normalized fluorescence by MST based assay,B,BAO_0000019,assay format,Homo sapiens,,,,,,,,CHEMBL3763008,Protein cereblon,Homo sapiens,SINGLE PROTEIN,CHEMBL4673389,1,Scientific Literature,ACS Med Chem Lett,2021,,,BINDING AGENT,,102.0,102000.0,0.00010200000000000001,3.9913998282380825,0
CHEMBL313149,,,210.24,0.0,2.24,BDBM50469986,O=C1Cc2cc(-c3ccncc3)ccc2N1,IC50,'=',200000.0,nM,,Outside typical range,1237146,UO_0000065,,,,,0,CHEMBL5738908,"Fluorescence Binding Assay: Fluorescence quenching end point measurements were performed in black polystyrene 384-plates on Tecan Safire monochromator reader with the following settings: excitation 280 nm; excitation bandwidth 10.0 nm; emission collection 340 nm; emission bandwidth 20.0 nm; high sensitivity flash mode; integration time 40 μS; delay 0 μm. All measurements were done in duplicates; GraphPad Prism 5.03 was used for data evaluation, curve fitting, plotting and determination of IC50 values.Serial dilutions of each tested ligands were mixed with truncated CRBN (319-427) to a final volume of 25 μL in the assay buffer (20 mM sodium phosphate buffer, pH 6.5, with 150 mM sodium chloride). The final concentration of CRBN in all assay will be 5-10 μM with DMSO level at 4%. A control lanes were prepared with only tested ligands without the addition of CRBN, top up with assay buffer to 25 μL. Plates were incubated for 5 minutes and analyzed using the monochromator plate reader.",B,BAO_0000357,single protein format,,,,,,,,,CHEMBL3763008,Protein cereblon,Homo sapiens,SINGLE PROTEIN,CHEMBL5729525,37,BindingDB Patent Bioactivity Data,,2023,,,,,200000.0,200000.0,0.0002,3.6989700043360187,0
CHEMBL848,LENALIDOMIDE,4.0,259.26,0.0,0.03,Lenalidomide,Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,IC50,'=',3600.0,nM,5.44,,,UO_0000065,21.0,0.39,5.41,5.89,0,CHEMBL5325039,Binding affinity to GST-tagged wild type human CRBN incubated for 3 hrs by TR-FRET assay,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL3763008,Protein cereblon,Homo sapiens,SINGLE PROTEIN,CHEMBL5321293,1,Scientific Literature,J Med Chem,2023,,TIME = 3.0 hr,BINDING AGENT,,3.6,3600.0,3.6000000000000003e-06,5.443697499232712,0
CHEMBL2324704,,,260.25,0.0,0.15,7-OH-EM12,O=C1CCC(N2Cc3cccc(O)c3C2=O)C(=O)N1,IC50,'=',337.0,nM,6.47,,,UO_0000065,24.87,0.47,6.32,7.46,0,CHEMBL5256274,Displacement of fluorescent tracer from NanoLuc-tagged CRBN (unknown origin) by NanoBRET assay,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL3763008,Protein cereblon,Homo sapiens,SINGLE PROTEIN,CHEMBL5252640,1,Scientific Literature,RSC Med Chem,2023,,,BINDING AGENT,,337.0,337.0,3.37e-07,6.4723700991286615,1
CHEMBL5414968,,,286.29,0.0,1.28,54,Cc1cc2cccc(C(=O)NC3CCC(=O)NC3=O)c2o1,Ki,'=',15000.0,nM,4.82,,,UO_0000065,16.85,0.31,3.54,5.46,0,CHEMBL5374908,Binding affinity to human CRBN TBD assessed as inhibition constant using BODIPY-uracil as substrate by MST assay,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL3763008,Protein cereblon,Homo sapiens,SINGLE PROTEIN,CHEMBL5370657,1,Scientific Literature,J Med Chem,2023,,,BINDING AGENT,,15.0,15000.0,1.5e-05,4.823908740944319,0
CHEMBL4763746,,,892.12,2.0,3.69,24,CC(C)c1ccn2ncnc(N[C@H]3CC[C@@H](N4CCN(C(=O)CCC(=O)N5CCC(CCN6CCN(c7ccc8c(c7)C(=O)N(C7CCC(=O)N(C)C7=O)C8=O)CC6)CC5)CC4)CC3)c12,IC50,'>',12000.0,nM,,,,UO_0000065,,,,,0,CHEMBL4729458,Inhibition of CRBN (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL3763008,Protein cereblon,Homo sapiens,SINGLE PROTEIN,CHEMBL4725370,1,Scientific Literature,J Med Chem,2020,,,,,12.0,12000.0,1.2e-05,4.920818753952375,0
CHEMBL275661,SUCCINIMIDE,-1.0,99.09,0.0,-0.58,Succinimide,O=C1CCC(=O)N1,IC50,'=',22300.0,nM,4.65,,,UO_0000065,46.94,0.91,5.23,10.08,0,CHEMBL4679656,Binding affinity to human CRBN-thalidomide binding domain expressed in Escherichia coli by measuring baseline corrected normalized fluorescence by MST based assay,B,BAO_0000019,assay format,Homo sapiens,,,,,,,,CHEMBL3763008,Protein cereblon,Homo sapiens,SINGLE PROTEIN,CHEMBL4673389,1,Scientific Literature,ACS Med Chem Lett,2021,,,BINDING AGENT,,22.3,22300.0,2.23e-05,4.651695136951839,0
CHEMBL5437759,,,304.2,0.0,0.78,6b,O=C1CCC(NC(=O)c2cc(F)c(F)c(F)c2F)C(=O)N1,Ki,'=',30000.0,nM,4.52,,,UO_0000065,14.87,0.29,3.74,6.01,0,CHEMBL5374908,Binding affinity to human CRBN TBD assessed as inhibition constant using BODIPY-uracil as substrate by MST assay,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL3763008,Protein cereblon,Homo sapiens,SINGLE PROTEIN,CHEMBL5370657,1,Scientific Literature,J Med Chem,2023,,,BINDING AGENT,,30.0,30000.0,3e-05,4.522878745280337,0
CHEMBL5405702,,,281.7,0.0,0.46,11a,Nc1ccc(C(=O)NC2CCC(=O)NC2=O)c(Cl)c1,Ki,'=',28000.0,nM,4.55,,,UO_0000065,16.16,0.33,4.09,4.49,0,CHEMBL5374908,Binding affinity to human CRBN TBD assessed as inhibition constant using BODIPY-uracil as substrate by MST assay,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL3763008,Protein cereblon,Homo sapiens,SINGLE PROTEIN,CHEMBL5370657,1,Scientific Literature,J Med Chem,2023,,,BINDING AGENT,,28.0,28000.0,2.8000000000000003e-05,4.552841968657781,0
CHEMBL5289875,,,342.3,0.0,0.04,"Table 1, R3C1",O=C1CCC(N2Cc3ccc(OS(=O)(=O)F)cc3C2=O)C(=O)N1,IC50,'=',255.0,nM,6.59,,,UO_0000065,19.26,0.39,6.55,6.0,0,CHEMBL5375575,Displacement of BODIPY-lenalidomide from human N-terminal NanoLuc-fused CRBN expressed in HEK293T cells incubated for 2 hrs by NanoBRET assay,B,BAO_0000219,cell-based format,Homo sapiens,,,HEK293T,,,,,CHEMBL3763008,Protein cereblon,Homo sapiens,SINGLE PROTEIN,CHEMBL5370678,1,Scientific Literature,ACS Med Chem Lett,2023,,TIME = 2.0 hr,BINDING AGENT,,255.0,255.0,2.55e-07,6.5934598195660445,1
CHEMBL5399248,,,388.41,0.0,0.19,"Table 1, R7C1",Cc1cn(S(=O)(=O)c2ccc3c(c2)C(=O)N(C2CCC(=O)NC2=O)C3)cn1,IC50,'=',454.0,nM,6.34,,,UO_0000065,16.33,0.32,6.15,5.36,0,CHEMBL5375575,Displacement of BODIPY-lenalidomide from human N-terminal NanoLuc-fused CRBN expressed in HEK293T cells incubated for 2 hrs by NanoBRET assay,B,BAO_0000219,cell-based format,Homo sapiens,,,HEK293T,,,,,CHEMBL3763008,Protein cereblon,Homo sapiens,SINGLE PROTEIN,CHEMBL5370678,1,Scientific Literature,ACS Med Chem Lett,2023,,TIME = 2.0 hr,BINDING AGENT,,454.0,454.0,4.54e-07,6.342944147142896,1
CHEMBL5423392,,,313.31,0.0,0.03,14; TX-16-Me,CN1Cc2cc3c(cc2C1)C(=O)N(C1CCC(=O)NC1=O)C3=O,Ki,'=',1400.0,nM,5.85,,,UO_0000065,18.68,0.35,5.82,6.74,1,CHEMBL5579174,Binding affinity to GST-tagged wild-type human CRBN incubated for 3 hrs by TR-FRET assay,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL3763008,Protein cereblon,Homo sapiens,SINGLE PROTEIN,CHEMBL5576143,1,Scientific Literature,J Med Chem,2024,,TIME = 3.0 hr,BINDING AGENT,,1.4,1400.0,1.4000000000000001e-06,5.853871964321762,0
CHEMBL5431074,,,442.38,0.0,0.9,"Table 1, R9C1",O=C1CCC(N2Cc3ccc(S(=O)(=O)n4cnc(C(F)(F)F)c4)cc3C2=O)C(=O)N1,IC50,'=',54.9,nM,7.26,,,UO_0000065,16.41,0.33,6.36,6.13,0,CHEMBL5375575,Displacement of BODIPY-lenalidomide from human N-terminal NanoLuc-fused CRBN expressed in HEK293T cells incubated for 2 hrs by NanoBRET assay,B,BAO_0000219,cell-based format,Homo sapiens,,,HEK293T,,,,,CHEMBL3763008,Protein cereblon,Homo sapiens,SINGLE PROTEIN,CHEMBL5370678,1,Scientific Literature,ACS Med Chem Lett,2023,,TIME = 2.0 hr,BINDING AGENT,,54.9,54.9,5.49e-08,7.260427655549908,1
CHEMBL5441135,,,263.25,0.0,-0.49,11e,Nc1ccc(C(=O)NC2CCC(=O)NC2=O)c(O)c1,Ki,'=',6800.0,nM,5.17,,,UO_0000065,19.63,0.37,5.66,4.25,0,CHEMBL5374908,Binding affinity to human CRBN TBD assessed as inhibition constant using BODIPY-uracil as substrate by MST assay,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL3763008,Protein cereblon,Homo sapiens,SINGLE PROTEIN,CHEMBL5370657,1,Scientific Literature,J Med Chem,2023,,,BINDING AGENT,,6.8,6800.0,6.8e-06,5.167491087293763,0
CHEMBL5414951,,,329.36,0.0,0.98,20,CCCCNc1ccc2c(=O)n(C3CCC(=O)NC3=O)nnc2c1,Ki,'=',3900.0,nM,5.41,,,UO_0000065,16.42,0.31,4.43,5.1,0,CHEMBL5374908,Binding affinity to human CRBN TBD assessed as inhibition constant using BODIPY-uracil as substrate by MST assay,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL3763008,Protein cereblon,Homo sapiens,SINGLE PROTEIN,CHEMBL5370657,1,Scientific Literature,J Med Chem,2023,,,BINDING AGENT,,3.9,3900.0,3.9e-06,5.4089353929735005,0
CHEMBL848,LENALIDOMIDE,4.0,259.26,0.0,0.03,Lenalidomide,Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,IC50,'=',37800.0,nM,4.42,,,UO_0000065,17.06,0.32,4.39,4.78,0,CHEMBL4679656,Binding affinity to human CRBN-thalidomide binding domain expressed in Escherichia coli by measuring baseline corrected normalized fluorescence by MST based assay,B,BAO_0000019,assay format,Homo sapiens,,,,,,,,CHEMBL3763008,Protein cereblon,Homo sapiens,SINGLE PROTEIN,CHEMBL4673389,1,Scientific Literature,ACS Med Chem Lett,2021,,,BINDING AGENT,,37.8,37800.0,3.7800000000000004e-05,4.422508200162775,0
CHEMBL4449512,,,774.72,2.0,6.07,MG-277,O=C1CCC(N2Cc3c(CCCCCNC(=O)[C@@H]4NC5(CCCCC5)[C@@]5(C(=O)Nc6cc(Cl)ccc65)[C@H]4c4cccc(Cl)c4F)cccc3C2=O)C(=O)N1,IC50,'=',623.1,nM,6.21,,,UO_0000065,8.01,0.16,0.14,4.54,0,CHEMBL4323230,Binding affinity to cereblon in human MDA-MB-231 cells assessed as reduction in cell growth inhibition measured after 4 days in presence of 10 uM of lenalidomide,B,BAO_0000219,cell-based format,Homo sapiens,,,MDA-MB-231,,,,,CHEMBL3763008,Protein cereblon,Homo sapiens,SINGLE PROTEIN,CHEMBL4321819,1,Scientific Literature,J Med Chem,2019,CHEMBL3307960,,,,623.1,623.1,6.231e-07,6.205442248745238,1
CHEMBL3989927,IBERDOMIDE,3.0,449.51,0.0,1.86,6; CC-220,O=C1CC[C@H](N2Cc3c(OCc4ccc(CN5CCOCC5)cc4)cccc3C2=O)C(=O)N1,IC50,'=',60.0,nM,7.22,,,UO_0000065,16.07,0.3,5.36,8.19,0,CHEMBL4219431,"Displacement of cy5-conjugated 2-((1E,3E,5Z)-5-(1-(6-((4-(2-((2-(2,6-Dioxopiperidin-3-yl)-1-oxoisoindolin-4-yl)oxy)acetamido)butyl)amino)-6-oxohexyl)-3,3-dimethylindolin-2-ylidene)penta-1,3-dien-1-yl)-1,3,3-trimethyl-3H-indol-1-ium from DDB1-fused human full length 6xHis-tagged CRBN expressed in Sf9 insect cells after 10 mins by TR-FRET assay",B,BAO_0000219,cell-based format,Homo sapiens,,,Sf9,,,,,CHEMBL3763008,Protein cereblon,Homo sapiens,SINGLE PROTEIN,CHEMBL4219026,1,Scientific Literature,J Med Chem,2018,,,,,60.0,60.0,6.000000000000001e-08,7.221848749616356,1
CHEMBL275661,SUCCINIMIDE,-1.0,99.09,0.0,-0.58,Succinimide,O=C1CCC(=O)N1,Ki,'=',8190.0,nM,5.09,,,UO_0000065,51.33,0.99,5.67,11.02,0,CHEMBL4679656,Binding affinity to human CRBN-thalidomide binding domain expressed in Escherichia coli by measuring baseline corrected normalized fluorescence by MST based assay,B,BAO_0000019,assay format,Homo sapiens,,,,,,,,CHEMBL3763008,Protein cereblon,Homo sapiens,SINGLE PROTEIN,CHEMBL4673389,1,Scientific Literature,ACS Med Chem Lett,2021,,,BINDING AGENT,,8.19,8190.0,8.190000000000001e-06,5.086716098239582,0
CHEMBL100259,URIDINE,3.0,244.2,0.0,-2.85,Uridine,O=c1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,IC50,'=',757000.0,nM,,Outside typical range,,UO_0000065,,,,,0,CHEMBL4679656,Binding affinity to human CRBN-thalidomide binding domain expressed in Escherichia coli by measuring baseline corrected normalized fluorescence by MST based assay,B,BAO_0000019,assay format,Homo sapiens,,,,,,,,CHEMBL3763008,Protein cereblon,Homo sapiens,SINGLE PROTEIN,CHEMBL4673389,1,Scientific Literature,ACS Med Chem Lett,2021,,,BINDING AGENT,,757.0,757000.0,0.0007570000000000001,3.1209041204999273,0
CHEMBL3707254,FURAZIDIN,-1.0,264.2,0.0,0.74,NF-DB,O=C1CN(/N=C/C=C/c2ccc([N+](=O)[O-])o2)C(=O)N1,IC50,'>',1000000.0,nM,,Outside typical range,,UO_0000065,,,,,0,CHEMBL4679656,Binding affinity to human CRBN-thalidomide binding domain expressed in Escherichia coli by measuring baseline corrected normalized fluorescence by MST based assay,B,BAO_0000019,assay format,Homo sapiens,,,,,,,,CHEMBL3763008,Protein cereblon,Homo sapiens,SINGLE PROTEIN,CHEMBL4673389,1,Scientific Literature,ACS Med Chem Lett,2021,,,,,1000.0,1000000.0,0.001,3.0,0
CHEMBL25028,DIMETHYL SULFONE,1.0,94.14,0.0,-0.34,DMSO,CS(C)(=O)=O,IC50,'=',181000000.0,nM,,Outside typical range,,UO_0000065,,,,,0,CHEMBL3768098,Inhibition of MANT-uracil binding to human CRBN (delta 1 to 315) by FRET assay,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL3763008,Protein cereblon,Homo sapiens,SINGLE PROTEIN,CHEMBL3763149,1,Scientific Literature,J Med Chem,2016,,,,,181000.0,181000000.0,0.18100000000000002,0.7423214251308154,0
CHEMBL3763941,,,113.12,0.0,-0.19,glutarimide,O=C1CCCC(=O)N1,IC50,'=',135800.0,nM,,Outside typical range,,UO_0000065,,,,,0,CHEMBL3768098,Inhibition of MANT-uracil binding to human CRBN (delta 1 to 315) by FRET assay,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL3763008,Protein cereblon,Homo sapiens,SINGLE PROTEIN,CHEMBL3763149,1,Scientific Literature,J Med Chem,2016,,,,,135.8,135800.0,0.00013580000000000002,3.867100230055517,0
CHEMBL3763941,,,113.12,0.0,-0.19,glutarimide,O=C1CCCC(=O)N1,Ki,'=',103100.0,nM,,Outside typical range,,UO_0000065,,,,,0,CHEMBL3768102,Inhibition of MANT-uracil binding to human CRBN (delta 1 to 315) by Cheng-Prusoff equation analysis,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL3763008,Protein cereblon,Homo sapiens,SINGLE PROTEIN,CHEMBL3763149,1,Scientific Literature,J Med Chem,2016,,,,,103.1,103100.0,0.00010310000000000001,3.9867413347164833,0
CHEMBL2324714,,,274.23,0.0,-0.21,4-OH-Thal,O=C1CCC(N2C(=O)c3cccc(O)c3C2=O)C(=O)N1,IC50,'=',630.0,nM,6.2,,,UO_0000065,22.61,0.42,6.41,5.97,0,CHEMBL5256274,Displacement of fluorescent tracer from NanoLuc-tagged CRBN (unknown origin) by NanoBRET assay,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL3763008,Protein cereblon,Homo sapiens,SINGLE PROTEIN,CHEMBL5252640,1,Scientific Literature,RSC Med Chem,2023,,,BINDING AGENT,,630.0,630.0,6.3e-07,6.200659450546418,1
CHEMBL43452,POMALIDOMIDE,4.0,273.25,0.0,-0.33,4-NH2-Thal,Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,IC50,'=',739.0,nM,6.13,,,UO_0000065,22.44,0.42,6.46,5.6,0,CHEMBL5256274,Displacement of fluorescent tracer from NanoLuc-tagged CRBN (unknown origin) by NanoBRET assay,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL3763008,Protein cereblon,Homo sapiens,SINGLE PROTEIN,CHEMBL5252640,1,Scientific Literature,RSC Med Chem,2023,,,BINDING AGENT,,739.0,739.0,7.39e-07,6.131355561605174,1
CHEMBL2324726,,,260.25,0.0,0.15,4-OH-EM12,O=C1CCC(N2Cc3c(O)cccc3C2=O)C(=O)N1,IC50,'=',234.0,nM,6.63,,,UO_0000065,25.48,0.48,6.48,7.65,0,CHEMBL5256274,Displacement of fluorescent tracer from NanoLuc-tagged CRBN (unknown origin) by NanoBRET assay,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL3763008,Protein cereblon,Homo sapiens,SINGLE PROTEIN,CHEMBL5252640,1,Scientific Literature,RSC Med Chem,2023,,,BINDING AGENT,,234.0,234.0,2.34e-07,6.6307841425898575,1
CHEMBL5563605,,,882.98,3.0,7.2,21,CN(C[C@H]1CC[C@H](n2cc3cc(NC(=O)c4cccc(C(F)(F)F)n4)c(C(C)(C)O)cc3n2)CC1)[C@H]1CCC2(CC1)C[C@H](Nc1cccc3c1C(=O)N(C1CCC(=O)NC1=O)C3=O)C2,IC50,'=',8.0,nM,8.1,,,UO_0000065,9.17,0.17,0.9,4.53,0,CHEMBL5525798,Binding affinity to CRBN (unknown origin) by HTRF assay,B,BAO_0000219,cell-based format,Homo sapiens,,,OCI-Ly10,,,,,CHEMBL3763008,Protein cereblon,Homo sapiens,SINGLE PROTEIN,CHEMBL5523727,1,Scientific Literature,J Med Chem,2024,,,BINDING AGENT,,8.0,8.0,8e-09,8.096910013008056,1
CHEMBL5558461,,,806.81,2.0,3.21,11c,CC(=O)c1cc(C(=O)Nc2cc(CO)cc(-c3cnn(C)c3)c2F)c2cc(OCC(=O)NCCCCNc3cccc4c3C(=O)N(C3CCC(=O)NC3=O)C4=O)ccn12,IC50,'=',180.0,nM,6.75,,,UO_0000065,8.36,0.16,3.53,3.03,0,CHEMBL5517055,Inhibition of biotinylated thalidomide binding to CRBN (40 to 442 residues) (unknown origin) incubated for 1 hrs by HTRF assay,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL3763008,Protein cereblon,Homo sapiens,SINGLE PROTEIN,CHEMBL5512685,1,Scientific Literature,J Med Chem,2024,,TIME = 1.0 hr,INHIBITOR,,0.18,180.0,1.8000000000000002e-07,6.7447274948966935,1
CHEMBL5560360,,,224.26,0.0,0.98,8p,CC(C)(C)C1=NOC2(CCC(=O)NC2=O)C1,Ki,'=',77400.0,nM,4.11,,,UO_0000065,18.33,0.35,3.13,6.07,0,CHEMBL5524487,Binding affinity to human CRBN TBD assessed as inhibition constant using BODIPY-uracil as substrate by Microscale thermophoresis assay,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL3763008,Protein cereblon,Homo sapiens,SINGLE PROTEIN,CHEMBL5523700,1,Scientific Literature,Eur J Med Chem,2024,,,BINDING AGENT,,77.4,77400.0,7.740000000000001e-05,4.111259039317107,0
