"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL5425793";"";"None";"230.27";"0";"0.81";"EM364; CPD-2380";"O=C1CCC(N2Cc3ccccc3C2)C(=O)N1";"IC50";"'='";"23000.0";"nM";"4.64";"";"";"UO_0000065";"20.14";"0.37";"3.83";"9.39";"0";"CHEMBL5380587";"Inhibition of N-terminal fused Nano Luc CRBN in HEK293T cells by NanoBRET CRBN engagement assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293T";"None";"";"";"";"CHEMBL3763008";"Protein cereblon";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5376021";"1";"Scientific Literature";"RSC Med Chem";"2024";"None";"";"INHIBITOR";"";"23.0"
"CHEMBL5397713";"";"None";"328.32";"0";"-0.19";"CPD-362";"O=C1CCC(NC(=O)Cc2cccc(S(=O)(=O)F)c2)C(=O)N1";"IC50";"'='";"3600.0";"nM";"5.44";"";"";"UO_0000065";"16.58";"0.34";"5.63";"4.98";"0";"CHEMBL5380587";"Inhibition of N-terminal fused Nano Luc CRBN in HEK293T cells by NanoBRET CRBN engagement assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293T";"None";"";"";"";"CHEMBL3763008";"Protein cereblon";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5376021";"1";"Scientific Literature";"RSC Med Chem";"2024";"None";"";"INHIBITOR";"";"3.6"
"CHEMBL5400126";"";"None";"435.52";"0";"2.22";"CPD-2743";"O=C1CCC(N2Cc3cccc(OCc4ccc(CN5CCOCC5)cc4)c3C2)C(=O)N1";"IC50";"'='";"808.0";"nM";"6.09";"";"";"UO_0000065";"13.99";"0.26";"3.87";"8.57";"0";"CHEMBL5380587";"Inhibition of N-terminal fused Nano Luc CRBN in HEK293T cells by NanoBRET CRBN engagement assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293T";"None";"";"";"";"CHEMBL3763008";"Protein cereblon";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5376021";"1";"Scientific Literature";"RSC Med Chem";"2024";"None";"";"INHIBITOR";"";"808.0"
"CHEMBL5432225";"";"None";"327.34";"0";"0.08";"28";"CN1CCc2cc3c(cc2C1)C(=O)N(C1CCC(=O)NC1=O)C3=O";"Ki";"'='";"6000.0";"nM";"5.22";"";"";"UO_0000065";"15.95";"0.30";"5.14";"6.02";"0";"CHEMBL5367924";"Binding affinity to CRBN (unknown origin) assessed as inhibition constant";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3763008";"Protein cereblon";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5365467";"1";"Scientific Literature";"J Med Chem";"2023";"None";"";"DEGRADER";"";"6.0"
"CHEMBL5404650";"";"None";"315.25";"0";"0.82";"11b";"Nc1ccc(C(=O)NC2CCC(=O)NC2=O)c(C(F)(F)F)c1";"Ki";"'='";"42000.0";"nM";"4.38";"";"";"UO_0000065";"13.88";"0.27";"3.56";"4.32";"0";"CHEMBL5374908";"Binding affinity to human CRBN TBD assessed as inhibition constant using BODIPY-uracil as substrate by MST assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3763008";"Protein cereblon";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5370657";"1";"Scientific Literature";"J Med Chem";"2023";"None";"";"BINDING AGENT";"";"42.0"
"CHEMBL5419302";"";"None";"261.28";"0";"0.11";"11c";"Cc1cc(N)ccc1C(=O)NC1CCC(=O)NC1=O";"Ki";"'='";"65000.0";"nM";"4.19";"";"";"UO_0000065";"16.03";"0.30";"4.08";"4.13";"0";"CHEMBL5374908";"Binding affinity to human CRBN TBD assessed as inhibition constant using BODIPY-uracil as substrate by MST assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3763008";"Protein cereblon";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5370657";"1";"Scientific Literature";"J Med Chem";"2023";"None";"";"BINDING AGENT";"";"65.0"
"CHEMBL5405986";"";"None";"277.28";"0";"-0.19";"11d";"COc1cc(N)ccc1C(=O)NC1CCC(=O)NC1=O";"Ki";"'='";"11000.0";"nM";"4.96";"";"";"UO_0000065";"17.88";"0.34";"5.15";"4.49";"0";"CHEMBL5374908";"Binding affinity to human CRBN TBD assessed as inhibition constant using BODIPY-uracil as substrate by MST assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3763008";"Protein cereblon";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5370657";"1";"Scientific Literature";"J Med Chem";"2023";"None";"";"BINDING AGENT";"";"11.0"
"CHEMBL5403248";"";"None";"313.26";"0";"0.09";"11f";"COc1c(N)c(F)cc(C(=O)NC2CCC(=O)NC2=O)c1F";"IC50";"'='";"90000.0";"nM";"4.05";"";"";"UO_0000065";"12.92";"0.25";"3.96";"3.66";"0";"CHEMBL5374907";"Binding affinity to human CRBN TBD using BODIPY-uracil as substrate by MST assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3763008";"Protein cereblon";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5370657";"1";"Scientific Literature";"J Med Chem";"2023";"None";"";"BINDING AGENT";"";"90.0"
"CHEMBL5424655";"";"None";"247.25";"0";"-0.20";"8c";"Nc1ccc(C(=O)NC2CCC(=O)NC2=O)cc1";"Ki";"'='";"41000.0";"nM";"4.39";"";"";"UO_0000065";"17.74";"0.33";"4.59";"4.33";"0";"CHEMBL5374908";"Binding affinity to human CRBN TBD assessed as inhibition constant using BODIPY-uracil as substrate by MST assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3763008";"Protein cereblon";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5370657";"1";"Scientific Literature";"J Med Chem";"2023";"None";"";"BINDING AGENT";"";"41.0"
"CHEMBL5394825";"";"None";"710.26";"2";"5.36";"Pro-1";"Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)N1CCC(c3ccc4c(c3)CN(C3CCC(=O)NC3=O)C4=O)CC1)c1nnc(C)n1-2";"IC50";"'='";"301.8";"nM";"6.52";"";"";"UO_0000065";"9.18";"0.18";"1.16";"5.02";"0";"CHEMBL5379636";"Binding affinity to Nano-Luc fused CRBN (unknown origin) expressed in live HEK293 cells incubated for 30 mins by NanoBRET target engagement assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL3763008";"Protein cereblon";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5376000";"1";"Scientific Literature";"J Med Chem";"2023";"None";"TIME = 0.5 hr";"BINDING AGENT";"";"301.8"
