"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL5761188";"";"None";"467.53";"0";"3.57";"BDBM562141";"CNC(=O)c1ccc2c(c1)nc(-c1ccc(CNC(C)=O)cc1)n2-c1ccc2c(c1)CCC(=O)N2";"Kd";"'='";"431.0";"nM";"6.37";"";"1187609";"UO_0000065";"13.62";"0.25";"2.80";"6.06";"0";"CHEMBL5738275";"Â Fluorescence Direct Binding Protocol: Process 1) Optimization of measurement parameters to minimize protein consumption and to minimize the dilution effect and the DMSO content 2) Titration measurements of the protein against ligand by at least 12 titration steps to obtain a good s-curve fit 3) Repeat the same titration measurements with the ligand alone to enable correction 4) Check the stability of the protein once by titration against DMSO alone 5) Determination of the molar extinction coefficients of the ligand at 280 and 340 nm with help of a UV-spectrophotometer 6) Use Excel template for the correction of the measured raw data 7) Use GraphPad Prism software for the quadratic binding fit and the Kd evaluation.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3763008";"Protein cereblon";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5729219";"37";"BindingDB Patent Bioactivity Data";"";"2022";"None";"";"";"";"431.0"
"CHEMBL5970373";"";"None";"444.47";"0";"4.08";"BDBM562142";"CNC(=O)c1ccc2c(c1)nc(-c1cc(OC)ccc1F)n2-c1ccc2c(c1)CCC(=O)N2";"k_off";"'='";"";"s-1";"";"";"1187610";"";"";"";"";"";"0";"CHEMBL5738275";"Â Fluorescence Direct Binding Protocol: Process 1) Optimization of measurement parameters to minimize protein consumption and to minimize the dilution effect and the DMSO content 2) Titration measurements of the protein against ligand by at least 12 titration steps to obtain a good s-curve fit 3) Repeat the same titration measurements with the ligand alone to enable correction 4) Check the stability of the protein once by titration against DMSO alone 5) Determination of the molar extinction coefficients of the ligand at 280 and 340 nm with help of a UV-spectrophotometer 6) Use Excel template for the correction of the measured raw data 7) Use GraphPad Prism software for the quadratic binding fit and the Kd evaluation.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3763008";"Protein cereblon";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5729219";"37";"BindingDB Patent Bioactivity Data";"";"2022";"None";"";"";"";""
"CHEMBL5848209";"";"None";"455.47";"0";"3.12";"BDBM562147";"CNC(=O)c1ccc2c(c1)nc(-c1ncccc1C(=O)OC)n2-c1ccc2c(c1)CCC(=O)N2";"Kd";"'='";"69.0";"nM";"7.16";"";"1187615";"UO_0000065";"15.72";"0.29";"4.04";"6.22";"0";"CHEMBL5738275";"Â Fluorescence Direct Binding Protocol: Process 1) Optimization of measurement parameters to minimize protein consumption and to minimize the dilution effect and the DMSO content 2) Titration measurements of the protein against ligand by at least 12 titration steps to obtain a good s-curve fit 3) Repeat the same titration measurements with the ligand alone to enable correction 4) Check the stability of the protein once by titration against DMSO alone 5) Determination of the molar extinction coefficients of the ligand at 280 and 340 nm with help of a UV-spectrophotometer 6) Use Excel template for the correction of the measured raw data 7) Use GraphPad Prism software for the quadratic binding fit and the Kd evaluation.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3763008";"Protein cereblon";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5729219";"37";"BindingDB Patent Bioactivity Data";"";"2022";"None";"";"";"";"69.0"
"CHEMBL5811225";"";"None";"454.49";"0";"3.29";"BDBM562149";"CNC(=O)c1ccc2c(c1)nc(-c1ncccc1NC(C)=O)n2-c1ccc2c(c1)CCC(=O)N2";"kon";"'='";"";"";"";"";"1187617";"";"";"";"";"";"0";"CHEMBL5738275";"Â Fluorescence Direct Binding Protocol: Process 1) Optimization of measurement parameters to minimize protein consumption and to minimize the dilution effect and the DMSO content 2) Titration measurements of the protein against ligand by at least 12 titration steps to obtain a good s-curve fit 3) Repeat the same titration measurements with the ligand alone to enable correction 4) Check the stability of the protein once by titration against DMSO alone 5) Determination of the molar extinction coefficients of the ligand at 280 and 340 nm with help of a UV-spectrophotometer 6) Use Excel template for the correction of the measured raw data 7) Use GraphPad Prism software for the quadratic binding fit and the Kd evaluation.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3763008";"Protein cereblon";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5729219";"37";"BindingDB Patent Bioactivity Data";"";"2022";"None";"";"";"";""
"CHEMBL5811225";"";"None";"454.49";"0";"3.29";"BDBM562149";"CNC(=O)c1ccc2c(c1)nc(-c1ncccc1NC(C)=O)n2-c1ccc2c(c1)CCC(=O)N2";"k_off";"'='";"";"s-1";"";"";"1187617";"";"";"";"";"";"0";"CHEMBL5738275";"Â Fluorescence Direct Binding Protocol: Process 1) Optimization of measurement parameters to minimize protein consumption and to minimize the dilution effect and the DMSO content 2) Titration measurements of the protein against ligand by at least 12 titration steps to obtain a good s-curve fit 3) Repeat the same titration measurements with the ligand alone to enable correction 4) Check the stability of the protein once by titration against DMSO alone 5) Determination of the molar extinction coefficients of the ligand at 280 and 340 nm with help of a UV-spectrophotometer 6) Use Excel template for the correction of the measured raw data 7) Use GraphPad Prism software for the quadratic binding fit and the Kd evaluation.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3763008";"Protein cereblon";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5729219";"37";"BindingDB Patent Bioactivity Data";"";"2022";"None";"";"";"";""
"CHEMBL6059281";"";"None";"210.24";"0";"2.24";"BDBM588282";"O=C1Cc2ccc(-c3ccncc3)cc2N1";"k_off";"'='";"";"s-1";"";"";"1237109";"";"";"";"";"";"0";"CHEMBL5738908";"Fluorescence Binding Assay: Fluorescence quenching end point measurements were performed in black polystyrene 384-plates on Tecan Safire monochromator reader with the following settings: excitation 280 nm; excitation bandwidth 10.0 nm; emission collection 340 nm; emission bandwidth 20.0 nm; high sensitivity flash mode; integration time 40 μS; delay 0 μm. All measurements were done in duplicates; GraphPad Prism 5.03 was used for data evaluation, curve fitting, plotting and determination of IC50 values.Serial dilutions of each tested ligands were mixed with truncated CRBN (319-427) to a final volume of 25 μL in the assay buffer (20 mM sodium phosphate buffer, pH 6.5, with 150 mM sodium chloride). The final concentration of CRBN in all assay will be 5-10 μM with DMSO level at 4%. A control lanes were prepared with only tested ligands without the addition of CRBN, top up with assay buffer to 25 μL. Plates were incubated for 5 minutes and analyzed using the monochromator plate reader.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3763008";"Protein cereblon";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5729525";"37";"BindingDB Patent Bioactivity Data";"";"2023";"None";"";"";"";""
"CHEMBL5765951";"";"None";"224.26";"0";"2.27";"BDBM588288";"CN1C(=O)Cc2ccc(-c3ccncc3)cc21";"kon";"'='";"";"";"";"";"1237115";"";"";"";"";"";"0";"CHEMBL5738908";"Fluorescence Binding Assay: Fluorescence quenching end point measurements were performed in black polystyrene 384-plates on Tecan Safire monochromator reader with the following settings: excitation 280 nm; excitation bandwidth 10.0 nm; emission collection 340 nm; emission bandwidth 20.0 nm; high sensitivity flash mode; integration time 40 μS; delay 0 μm. All measurements were done in duplicates; GraphPad Prism 5.03 was used for data evaluation, curve fitting, plotting and determination of IC50 values.Serial dilutions of each tested ligands were mixed with truncated CRBN (319-427) to a final volume of 25 μL in the assay buffer (20 mM sodium phosphate buffer, pH 6.5, with 150 mM sodium chloride). The final concentration of CRBN in all assay will be 5-10 μM with DMSO level at 4%. A control lanes were prepared with only tested ligands without the addition of CRBN, top up with assay buffer to 25 μL. Plates were incubated for 5 minutes and analyzed using the monochromator plate reader.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3763008";"Protein cereblon";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5729525";"37";"BindingDB Patent Bioactivity Data";"";"2023";"None";"";"";"";""
"CHEMBL5979631";"";"None";"307.40";"0";"2.25";"BDBM588300";"O=C1Cc2ccc(-c3cccc(CN4CCNCC4)c3)cc2N1";"IC50";"'>'";"300000.0";"nM";"";"Outside typical range";"1237126";"UO_0000065";"";"";"";"";"0";"CHEMBL5738908";"Fluorescence Binding Assay: Fluorescence quenching end point measurements were performed in black polystyrene 384-plates on Tecan Safire monochromator reader with the following settings: excitation 280 nm; excitation bandwidth 10.0 nm; emission collection 340 nm; emission bandwidth 20.0 nm; high sensitivity flash mode; integration time 40 μS; delay 0 μm. All measurements were done in duplicates; GraphPad Prism 5.03 was used for data evaluation, curve fitting, plotting and determination of IC50 values.Serial dilutions of each tested ligands were mixed with truncated CRBN (319-427) to a final volume of 25 μL in the assay buffer (20 mM sodium phosphate buffer, pH 6.5, with 150 mM sodium chloride). The final concentration of CRBN in all assay will be 5-10 μM with DMSO level at 4%. A control lanes were prepared with only tested ligands without the addition of CRBN, top up with assay buffer to 25 μL. Plates were incubated for 5 minutes and analyzed using the monochromator plate reader.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3763008";"Protein cereblon";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5729525";"37";"BindingDB Patent Bioactivity Data";"";"2023";"None";"";"";"";"300000.0"
"CHEMBL5746656";"";"None";"252.32";"0";"3.44";"BDBM588367";"CC(C)C1C(=O)Nc2ccc(-c3ccncc3)cc21";"kon";"'='";"";"";"";"";"1237189";"";"";"";"";"";"0";"CHEMBL5738908";"Fluorescence Binding Assay: Fluorescence quenching end point measurements were performed in black polystyrene 384-plates on Tecan Safire monochromator reader with the following settings: excitation 280 nm; excitation bandwidth 10.0 nm; emission collection 340 nm; emission bandwidth 20.0 nm; high sensitivity flash mode; integration time 40 μS; delay 0 μm. All measurements were done in duplicates; GraphPad Prism 5.03 was used for data evaluation, curve fitting, plotting and determination of IC50 values.Serial dilutions of each tested ligands were mixed with truncated CRBN (319-427) to a final volume of 25 μL in the assay buffer (20 mM sodium phosphate buffer, pH 6.5, with 150 mM sodium chloride). The final concentration of CRBN in all assay will be 5-10 μM with DMSO level at 4%. A control lanes were prepared with only tested ligands without the addition of CRBN, top up with assay buffer to 25 μL. Plates were incubated for 5 minutes and analyzed using the monochromator plate reader.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3763008";"Protein cereblon";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5729525";"37";"BindingDB Patent Bioactivity Data";"";"2023";"None";"";"";"";""
"CHEMBL5977237";"";"None";"493.52";"0";"0.25";"BDBM585777";"O=C1CCC(N2Cc3c(NC(=O)CNc4ccnc(N5CCC[C@H]5CO)n4)cccc3C2=O)C(=O)N1";"IC50";"'='";"8500.0";"nM";"5.07";"";"1232021";"UO_0000065";"10.27";"0.19";"4.82";"3.23";"0";"CHEMBL5738796";"TBD: TBD";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3763008";"Protein cereblon";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5729492";"37";"BindingDB Patent Bioactivity Data";"";"2022";"None";"";"";"";"8500.0"
"CHEMBL5405846";"";"None";"767.36";"2";"5.34";"Pro-3";"Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)NCCCN1CCC(c3ccc4c(c3)CN(C3CCC(=O)NC3=O)C4=O)CC1)c1nnc(C)n1-2";"IC50";"'='";"17.8";"nM";"7.75";"";"";"UO_0000065";"10.10";"0.20";"2.41";"5.46";"0";"CHEMBL5379637";"Binding affinity to Nano-Luc fused CRBN (unknown origin) expressed in digitonin-permeabilized HEK293 cells incubated for 10 mins by NanoBRET target engagement assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL3763008";"Protein cereblon";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5376000";"1";"Scientific Literature";"J Med Chem";"2023";"None";"TIME = 0.1667 hr";"BINDING AGENT";"";"17.8"
"CHEMBL5432640";"";"None";"793.39";"2";"5.73";"Pro-14";"Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)NCCN1CC3(CCC(c4ccc5c(c4)CN(C4CCC(=O)NC4=O)C5=O)CC3)C1)c1nnc(C)n1-2";"IC50";"'='";"20.7";"nM";"7.68";"";"";"UO_0000065";"9.69";"0.19";"1.95";"5.42";"0";"CHEMBL5379637";"Binding affinity to Nano-Luc fused CRBN (unknown origin) expressed in digitonin-permeabilized HEK293 cells incubated for 10 mins by NanoBRET target engagement assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL3763008";"Protein cereblon";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5376000";"1";"Scientific Literature";"J Med Chem";"2023";"None";"TIME = 0.1667 hr";"BINDING AGENT";"";"20.7"
"CHEMBL5413097";"";"None";"293.34";"0";"1.62";"14h";"COC(=O)c1ccccc1SCC1CCC(=O)NC1=O";"Ki";"'='";"1100.0";"nM";"5.96";"";"";"UO_0000065";"20.31";"0.41";"4.34";"8.22";"0";"CHEMBL5355404";"Binding affinity to human CRBN thalidomide binding domain assessed as inhibition constant by microscale thermophoresis analysis";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3763008";"Protein cereblon";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5352463";"1";"Scientific Literature";"Eur J Med Chem";"2023";"None";"";"BINDING AGENT";"";"1.1"
"CHEMBL5397775";"";"None";"301.75";"0";"1.17";"20b";"O=C1CCC(CS(=O)(=O)c2ccc(Cl)cc2)C(=O)N1";"Ki";"'='";"7400.0";"nM";"5.13";"";"";"UO_0000065";"17.00";"0.37";"3.96";"6.39";"0";"CHEMBL5355404";"Binding affinity to human CRBN thalidomide binding domain assessed as inhibition constant by microscale thermophoresis analysis";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3763008";"Protein cereblon";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5352463";"1";"Scientific Literature";"Eur J Med Chem";"2023";"None";"";"BINDING AGENT";"";"7.4"
"CHEMBL5429778";"";"None";"281.33";"0";"0.82";"20c";"Cc1ccc(S(=O)(=O)CC2CCC(=O)NC2=O)cc1";"Ki";"'='";"10000.0";"nM";"5.00";"";"";"UO_0000065";"17.77";"0.36";"4.18";"6.23";"0";"CHEMBL5355404";"Binding affinity to human CRBN thalidomide binding domain assessed as inhibition constant by microscale thermophoresis analysis";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3763008";"Protein cereblon";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5352463";"1";"Scientific Literature";"Eur J Med Chem";"2023";"None";"";"BINDING AGENT";"";"10.0"
"CHEMBL5881048";"";"None";"465.44";"0";"4.35";"BDBM562152";"CNC(=O)c1ccc2c(c1)nc(-c1ccncc1C(F)(F)F)n2-c1ccc2c(c1)CCC(=O)N2";"k_off";"'='";"";"s-1";"";"";"1187620";"";"";"";"";"";"0";"CHEMBL5738275";"Â Fluorescence Direct Binding Protocol: Process 1) Optimization of measurement parameters to minimize protein consumption and to minimize the dilution effect and the DMSO content 2) Titration measurements of the protein against ligand by at least 12 titration steps to obtain a good s-curve fit 3) Repeat the same titration measurements with the ligand alone to enable correction 4) Check the stability of the protein once by titration against DMSO alone 5) Determination of the molar extinction coefficients of the ligand at 280 and 340 nm with help of a UV-spectrophotometer 6) Use Excel template for the correction of the measured raw data 7) Use GraphPad Prism software for the quadratic binding fit and the Kd evaluation.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3763008";"Protein cereblon";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5729219";"37";"BindingDB Patent Bioactivity Data";"";"2022";"None";"";"";"";""
"CHEMBL5905607";"";"None";"294.31";"0";"1.56";"BDBM562167";"O=C1CCc2cc(C(=O)N3CCc4cccnc43)cnc2N1";"Kd";"'='";"3.0";"nM";"8.52";"";"1187634";"UO_0000065";"28.96";"0.53";"6.96";"11.34";"0";"CHEMBL5738275";"Â Fluorescence Direct Binding Protocol: Process 1) Optimization of measurement parameters to minimize protein consumption and to minimize the dilution effect and the DMSO content 2) Titration measurements of the protein against ligand by at least 12 titration steps to obtain a good s-curve fit 3) Repeat the same titration measurements with the ligand alone to enable correction 4) Check the stability of the protein once by titration against DMSO alone 5) Determination of the molar extinction coefficients of the ligand at 280 and 340 nm with help of a UV-spectrophotometer 6) Use Excel template for the correction of the measured raw data 7) Use GraphPad Prism software for the quadratic binding fit and the Kd evaluation.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3763008";"Protein cereblon";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5729219";"37";"BindingDB Patent Bioactivity Data";"";"2022";"None";"";"";"";"3.0"
"CHEMBL6008654";"";"None";"307.35";"0";"2.56";"BDBM562168";"O=C1CCc2cc(C(=O)N3CCCc4ccccc43)cnc2N1";"Kd";"'='";"1.0";"nM";"9.00";"";"1187635";"UO_0000065";"29.28";"0.53";"6.44";"14.45";"0";"CHEMBL5738275";"Â Fluorescence Direct Binding Protocol: Process 1) Optimization of measurement parameters to minimize protein consumption and to minimize the dilution effect and the DMSO content 2) Titration measurements of the protein against ligand by at least 12 titration steps to obtain a good s-curve fit 3) Repeat the same titration measurements with the ligand alone to enable correction 4) Check the stability of the protein once by titration against DMSO alone 5) Determination of the molar extinction coefficients of the ligand at 280 and 340 nm with help of a UV-spectrophotometer 6) Use Excel template for the correction of the measured raw data 7) Use GraphPad Prism software for the quadratic binding fit and the Kd evaluation.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3763008";"Protein cereblon";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5729219";"37";"BindingDB Patent Bioactivity Data";"";"2022";"None";"";"";"";"1.0"
"CHEMBL5808772";"";"None";"306.37";"0";"3.78";"BDBM562169";"CC(C)c1nc2ccccc2n1-c1ccc2c(c1)CNC(=O)N2";"Kd";"'='";"171.0";"nM";"6.77";"";"1187636";"UO_0000065";"22.09";"0.40";"2.99";"11.48";"0";"CHEMBL5738275";"Â Fluorescence Direct Binding Protocol: Process 1) Optimization of measurement parameters to minimize protein consumption and to minimize the dilution effect and the DMSO content 2) Titration measurements of the protein against ligand by at least 12 titration steps to obtain a good s-curve fit 3) Repeat the same titration measurements with the ligand alone to enable correction 4) Check the stability of the protein once by titration against DMSO alone 5) Determination of the molar extinction coefficients of the ligand at 280 and 340 nm with help of a UV-spectrophotometer 6) Use Excel template for the correction of the measured raw data 7) Use GraphPad Prism software for the quadratic binding fit and the Kd evaluation.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3763008";"Protein cereblon";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5729219";"37";"BindingDB Patent Bioactivity Data";"";"2022";"None";"";"";"";"171.0"
"CHEMBL5808772";"";"None";"306.37";"0";"3.78";"BDBM562169";"CC(C)c1nc2ccccc2n1-c1ccc2c(c1)CNC(=O)N2";"k_off";"'='";"";"s-1";"";"";"1187636";"";"";"";"";"";"0";"CHEMBL5738275";"Â Fluorescence Direct Binding Protocol: Process 1) Optimization of measurement parameters to minimize protein consumption and to minimize the dilution effect and the DMSO content 2) Titration measurements of the protein against ligand by at least 12 titration steps to obtain a good s-curve fit 3) Repeat the same titration measurements with the ligand alone to enable correction 4) Check the stability of the protein once by titration against DMSO alone 5) Determination of the molar extinction coefficients of the ligand at 280 and 340 nm with help of a UV-spectrophotometer 6) Use Excel template for the correction of the measured raw data 7) Use GraphPad Prism software for the quadratic binding fit and the Kd evaluation.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3763008";"Protein cereblon";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5729219";"37";"BindingDB Patent Bioactivity Data";"";"2022";"None";"";"";"";""
"CHEMBL43452";"POMALIDOMIDE";"4.0";"273.25";"0";"-0.33";"Pomalidomide";"Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O";"IC50";"'='";"2060.0";"nM";"5.69";"";"";"UO_0000065";"20.81";"0.39";"6.02";"5.19";"0";"CHEMBL6086112";"Inhibition of GST-tagged wild-type human CRBN incubated for about 3 hrs by HTRF assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3763008";"Protein cereblon";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL6083272";"1";"Scientific Literature";"J Med Chem";"2024";"None";"TIME = 3.0 hr";"INHIBITOR";"";"2.06"
"CHEMBL848";"LENALIDOMIDE";"4.0";"259.26";"0";"0.03";"Lenalidomide";"Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O";"IC50";"'='";"1980.0";"nM";"5.70";"";"";"UO_0000065";"22.00";"0.41";"5.67";"6.17";"0";"CHEMBL6086843";"Binding affinity to wild type GST-tagged human CRBN by HTRF assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3763008";"Protein cereblon";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL6083286";"1";"Scientific Literature";"J Med Chem";"2024";"None";"";"BINDING AGENT";"";"1.98"
"CHEMBL6120255";"";"None";"444.50";"0";"3.09";"10";"CCNC(=O)[C@H]1C[C@H](n2nc(-c3noc(C4CC4)c3-c3ccccn3)c3c(N)ncnc32)C1";"IC50";"'>'";"25000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL6075842";"Binding affinity to CRBN (unknown origin) by HTRF assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3763008";"Protein cereblon";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL6074657";"1";"Scientific Literature";"J Med Chem";"2024";"None";"";"";"";"25000.0"
"CHEMBL5430810";"";"None";"525.61";"1";"3.28";"3";"COc1ccc(CN2[C@@H]3C[C@H]2CN(c2ccc(-c4cc(OCC(C)(C)O)cn5ncc(C#N)c45)cn2)C3)cn1";"IC50";"'>'";"50000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL6075842";"Binding affinity to CRBN (unknown origin) by HTRF assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3763008";"Protein cereblon";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL6074657";"1";"Scientific Literature";"J Med Chem";"2024";"None";"";"";"";"50000.0"
"CHEMBL6120714";"";"None";"988.21";"3";"6.34";"16";"COc1ccc(CN2[C@@H]3C[C@H]2CN(c2ccc(-c4cc(OCC5CCN(C(=O)CCCCCCN6CCC(c7ccc8c(c7)C(=O)N(C7CCC(=O)NC7=O)C8)CC6)CC5)cn5ncc(C#N)c45)cn2)C3)cn1";"IC50";"'='";"280.4";"nM";"6.55";"";"";"UO_0000065";"6.63";"0.12";"0.21";"3.60";"0";"CHEMBL6075842";"Binding affinity to CRBN (unknown origin) by HTRF assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3763008";"Protein cereblon";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL6074657";"1";"Scientific Literature";"J Med Chem";"2024";"None";"";"BINDING AGENT";"";"280.4"
"CHEMBL6132745";"";"None";"982.11";"2";"4.89";"22";"CCOc1cc(-c2ccc(N3CCC(CN4CCN(C(=O)CCN5CCC(c6ccc7c(c6)C(=O)N(C6CCC(=O)NC6=O)C7)CC5)CC4)(NC(=O)c4cc(F)ccc4F)CC3)nc2)c2c(C#N)cnn2c1";"IC50";"'='";"150.3";"nM";"6.82";"";"";"UO_0000065";"6.95";"0.13";"1.93";"3.61";"0";"CHEMBL6075842";"Binding affinity to CRBN (unknown origin) by HTRF assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3763008";"Protein cereblon";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL6074657";"1";"Scientific Literature";"J Med Chem";"2024";"None";"";"BINDING AGENT";"";"150.3"
"CHEMBL6101990";"";"None";"928.06";"2";"4.59";"30";"CCOc1cc(-c2ccc(N3CCC(CN4CCN(C(=O)CCN5CCN(c6ccc(C7CCC(=O)NC7=O)cc6)CC5)CC4)(NC(=O)c4cc(F)ccc4F)CC3)nc2)c2c(C#N)cnn2c1";"IC50";"'='";"67.8";"nM";"7.17";"";"";"UO_0000065";"7.72";"0.14";"2.58";"4.17";"0";"CHEMBL6075842";"Binding affinity to CRBN (unknown origin) by HTRF assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3763008";"Protein cereblon";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL6074657";"1";"Scientific Literature";"J Med Chem";"2024";"None";"";"BINDING AGENT";"";"67.8"
"CHEMBL6078603";"";"None";"982.11";"2";"4.89";"22-S";"CCOc1cc(-c2ccc(N3CCC(CN4CCN(C(=O)CCN5CCC(c6ccc7c(c6)C(=O)N([C@@H]6CCC(=O)NC6=O)C7)CC5)CC4)(NC(=O)c4cc(F)ccc4F)CC3)nc2)c2c(C#N)cnn2c1";"IC50";"'='";"36.8";"nM";"7.43";"";"";"UO_0000065";"7.57";"0.14";"2.54";"3.94";"0";"CHEMBL6075859";"Binding affinity to CRBN (unknown origin) transfected in HEK293 cells incubated for 2 hrs by NanoBRET assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL3763008";"Protein cereblon";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL6074657";"1";"Scientific Literature";"J Med Chem";"2024";"None";"TIME = 2.0 hr";"BINDING AGENT";"";"36.8"
"CHEMBL6141799";"";"None";"943.07";"2";"4.29";"28";"CCOc1cc(-c2ccc(N3CCC(CN4CCN(C(=O)CCN5CCN(c6ccc(NC7CCC(=O)NC7=O)cc6)CC5)CC4)(NC(=O)c4cc(F)ccc4F)CC3)nc2)c2c(C#N)cnn2c1";"IC50";"'='";"340.9";"nM";"6.47";"";"";"UO_0000065";"6.86";"0.13";"2.18";"3.52";"0";"CHEMBL6075859";"Binding affinity to CRBN (unknown origin) transfected in HEK293 cells incubated for 2 hrs by NanoBRET assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL3763008";"Protein cereblon";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL6074657";"1";"Scientific Literature";"J Med Chem";"2024";"None";"TIME = 2.0 hr";"BINDING AGENT";"";"340.9"
